MSISDN,PIN
73100142,1359
73005099,1359
73001318,1359
73680256,1359
73702046,1359
73557300,1359
73521193,1359
73315979,1359
73932150,1359
73008417,1359
73706901,1359
73826100,1359
73724766,1359
73042518,1359
75829541,1359
73388012,1359
73896417,1359
74940153,1359
73475316,1359
73587105,1359
73762991,1359
73901186,1359
73978086,1359
73303876,1359
76805620,1359
73235345,1359
73581725,1359
75849733,1359
73021918,1359
73099004,1359
73738589,1359
73653187,1359
73787327,1359
73576311,1359
73837718,1359
73762887,1359
73500629,1359
73981236,1359
73905022,1359
73061454,1359
73562535,1359
74993613,1359
75812287,1359
75811925,1359
74922085,1359
75864872,1359
73264386,1359
73001957,1359
75867035,1359
73969471,1359
76895659,1359
73951760,1359
74949995,1359
73604896,1359
74971332,1359
73411594,1359
75837069,1359
73713013,1359
75811718,1359
74925976,1359
73419193,1359
73934880,1359
73326064,1359
73480586,1359
73039052,1359
76801588,1359
73105432,1359
76820990,1359
73170737,1359
73651440,1359
73285024,1359
73209717,1359
73211580,1359
73445688,1359
73573888,1359
73253306,1359
73259283,1359
73118658,1359
73606607,1359
73119013,1359
73052689,1359
73104183,1359
73047114,1359
73105392,1359
73132436,1359
73161376,1359
73861979,1359
73483208,1359
73325937,1359
73349370,1359
73100072,1359
73128296,1359
73005102,1359
73096285,1359
73004447,1359
73685171,1359
75826175,1359
73134962,1359
73218068,1359
73396308,1359
73747734,1359
73399379,1359
73241410,1359
73334380,1359
73737145,1359
73456973,1359
73423700,1359
73400533,1359
73634615,1359
73204542,1359
73072299,1359
73914228,1359
73767822,1359
73561114,1359
73701809,1359
73973283,1359
73700275,1359
73649121,1359
73789446,1359
73854365,1359
73373012,1359
73848354,1359
73975177,1359
74990603,1359
73413000,1359
75814381,1359
73861548,1359
73765245,1359
73982361,1359
75862688,1359
75881578,1359
76821126,1359
73868805,1359
73614410,1359
