MSISDN,PIN
73005096,1359
76836470,1359
73517448,1359
76873122,1359
73678189,1359
75809095,1359
73850527,1359
73943164,1359
73001193,1359
73413989,1359
73141696,1359
73825250,1359
73735018,1359
73177338,1359
75877097,1359
75801838,1359
73364834,1359
73254925,1359
75823199,1359
73909320,1359
76884180,1359
73053019,1359
73834350,1359
74914760,1359
73324582,1359
73888046,1359
73499389,1359
74975861,1359
73270526,1359
73445729,1359
74923955,1359
73770183,1359
73514719,1359
73776131,1359
76801571,1359
73964879,1359
73032034,1359
74903490,1359
74995001,1359
75813790,1359
73973961,1359
73146431,1359
75888938,1359
75850967,1359
75870460,1359
73339283,1359
75812018,1359
73262157,1359
73155600,1359
73889132,1359
76862396,1359
73091103,1359
75898206,1359
73352704,1359
73445559,1359
73328382,1359
76850763,1359
75895784,1359
73509186,1359
75841842,1359
76848855,1359
75868471,1359
73308355,1359
75827239,1359
73629170,1359
73356423,1359
73246612,1359
73196192,1359
73774089,1359
73229759,1359
73013338,1359
73341925,1359
73370466,1359
73288652,1359
73408957,1359
73298465,1359
73240774,1359
73880442,1359
73251539,1359
73297761,1359
73102557,1359
73293527,1359
73655559,1359
76827610,1359
73117174,1359
73126781,1359
76899060,1359
73140066,1359
73015675,1359
73314655,1359
73000632,1359
73370686,1359
73643889,1359
76897250,1359
73970288,1359
73572969,1359
73159257,1359
73659631,1359
73277778,1359
73040531,1359
73376690,1359
73363113,1359
73434041,1359
73557711,1359
73829266,1359
73368419,1359
73377409,1359
73815412,1359
73941732,1359
74959685,1359
73426786,1359
73488772,1359
73370451,1359
73500161,1359
73355342,1359
73426803,1359
73763134,1359
73177055,1359
73984639,1359
73773254,1359
73176970,1359
73007649,1359
74962594,1359
73937264,1359
73750595,1359
75814923,1359
73629438,1359
74992608,1359
75833251,1359
76873552,1359
73234612,1359
75866231,1359
73195136,1359
