MSISDN,PIN
73005660,1359
73906477,1359
73884097,1359
74966616,1359
73955429,1359
76869027,1359
73005535,1359
73847388,1359
73977135,1359
75873446,1359
73095729,1359
73195931,1359
73240123,1359
73240612,1359
73200592,1359
74911668,1359
73561821,1359
73730239,1359
73635265,1359
73428508,1359
73735990,1359
73452620,1359
73424757,1359
75878583,1359
73772467,1359
73730399,1359
73509632,1359
73050462,1359
73412685,1359
73218801,1359
73556266,1359
73127687,1359
73796621,1359
73726862,1359
73399602,1359
73194939,1359
73449099,1359
74938976,1359
74993523,1359
73572691,1359
73974396,1359
73785708,1359
73161541,1359
73974019,1359
76898381,1359
73780956,1359
76804327,1359
73879687,1359
76834086,1359
73310036,1359
74958854,1359
73576089,1359
73276655,1359
73537161,1359
73833883,1359
73184638,1359
73241662,1359
73942441,1359
73447366,1359
73667906,1359
73879051,1359
74960567,1359
73812133,1359
76836806,1359
73535212,1359
73436335,1359
73181120,1359
73206449,1359
73885147,1359
73190942,1359
73238526,1359
73422518,1359
73416235,1359
73425102,1359
73993527,1359
73120874,1359
73296269,1359
73111064,1359
73104881,1359
73374170,1359
73585480,1359
73122145,1359
73247759,1359
73329868,1359
76883319,1359
75813643,1359
73770894,1359
73640471,1359
73978055,1359
73842834,1359
73000758,1359
73474666,1359
73966501,1359
73730045,1359
73007104,1359
73668819,1359
73303999,1359
73256465,1359
73192536,1359
73795005,1359
73230691,1359
73637531,1359
73917758,1359
73071230,1359
73194809,1359
73535498,1359
73641693,1359
73960601,1359
73904924,1359
73437754,1359
73819181,1359
74901605,1359
73406473,1359
73144494,1359
73155555,1359
73448308,1359
73855986,1359
73675128,1359
73000246,1359
73931704,1359
73143875,1359
73956793,1359
73963499,1359
73997329,1359
73078707,1359
73001293,1359
76831324,1359
73808841,1359
73660837,1359
73213467,1359
75822055,1359
75874064,1359
74975265,1359
73001980,1359
