MSISDN,PIN,policy_number,amount
73523744,1359,1234568065,10
73001362,1359,1234568065,10
73206136,1359,1234568065,10
73184757,1359,1234568065,10
73865076,1359,1234568065,10
73533094,1359,1234568065,10
73611825,1359,1234568065,10
73595719,1359,1234568065,10
73924948,1359,1234568065,10
73168920,1359,1234568065,10
73145682,1359,1234568065,10
73422698,1359,1234568065,10
73014199,1359,1234568065,10
73363575,1359,1234568065,10
73258191,1359,1234568065,10
73287402,1359,1234568065,10
73774086,1359,1234568065,10
73589617,1359,1234568065,10
73665738,1359,1234568065,10
73501606,1359,1234568065,10
75894719,1359,1234568065,10
73654892,1359,1234568065,10
73334730,1359,1234568065,10
73701508,1359,1234568065,10
73564958,1359,1234568065,10
76879893,1359,1234568065,10
73855343,1359,1234568065,10
73316970,1359,1234568065,10
74912130,1359,1234568065,10
76867242,1359,1234568065,10
73783765,1359,1234568065,10
73762062,1359,1234568065,10
73302246,1359,1234568065,10
76868693,1359,1234568065,10
73723227,1359,1234568065,10
73926809,1359,1234568065,10
73596831,1359,1234568065,10
73644532,1359,1234568065,10
74971374,1359,1234568065,10
74999017,1359,1234568065,10
73969941,1359,1234568065,10
73188950,1359,1234568065,10
74991655,1359,1234568065,10
75851916,1359,1234568065,10
73384916,1359,1234568065,10
73680276,1359,1234568065,10
73079892,1359,1234568065,10
76825707,1359,1234568065,10
73188767,1359,1234568065,10
73542539,1359,1234568065,10
73936321,1359,1234568065,10
74913408,1359,1234568065,10
73087702,1359,1234568065,10
73254870,1359,1234568065,10
76877825,1359,1234568065,10
73792047,1359,1234568065,10
74916024,1359,1234568065,10
75858578,1359,1234568065,10
73325274,1359,1234568065,10
73170323,1359,1234568065,10
73212344,1359,1234568065,10
73005209,1359,1234568065,10
73057771,1359,1234568065,10
73881192,1359,1234568065,10
73214811,1359,1234568065,10
76813582,1359,1234568065,10
76839141,1359,1234568065,10
73388250,1359,1234568065,10
73563260,1359,1234568065,10
73838725,1359,1234568065,10
73622210,1359,1234568065,10
73920839,1359,1234568065,10
73458051,1359,1234568065,10
75863187,1359,1234568065,10
73409187,1359,1234568065,10
73263444,1359,1234568065,10
73088451,1359,1234568065,10
73293214,1359,1234568065,10
73043865,1359,1234568065,10
75810203,1359,1234568065,10
73115039,1359,1234568065,10
73118948,1359,1234568065,10
73212245,1359,1234568065,10
73293468,1359,1234568065,10
73123430,1359,1234568065,10
73234117,1359,1234568065,10
73157345,1359,1234568065,10
73289777,1359,1234568065,10
73130186,1359,1234568065,10
73825628,1359,1234568065,10
75888996,1359,1234568065,10
73114040,1359,1234568065,10
75894866,1359,1234568065,10
73609576,1359,1234568065,10
73001006,1359,1234568065,10
74938009,1359,1234568065,10
74984523,1359,1234568065,10
75855904,1359,1234568065,10
73593370,1359,1234568065,10
73735260,1359,1234568065,10
73487700,1359,1234568065,10
73698910,1359,1234568065,10
73458597,1359,1234568065,10
73581693,1359,1234568065,10
73663881,1359,1234568065,10
73423859,1359,1234568065,10
73102629,1359,1234568065,10
73934560,1359,1234568065,10
73586174,1359,1234568065,10
73644055,1359,1234568065,10
73731004,1359,1234568065,10
73046875,1359,1234568065,10
73954373,1359,1234568065,10
73470970,1359,1234568065,10
73490340,1359,1234568065,10
73409709,1359,1234568065,10
73760334,1359,1234568065,10
73551655,1359,1234568065,10
73162755,1359,1234568065,10
73712433,1359,1234568065,10
73920538,1359,1234568065,10
73379612,1359,1234568065,10
73967669,1359,1234568065,10
73029130,1359,1234568065,10
75806093,1359,1234568065,10
73152815,1359,1234568065,10
75837124,1359,1234568065,10
73679417,1359,1234568065,10
75856559,1359,1234568065,10
73589456,1359,1234568065,10
74991339,1359,1234568065,10
73808934,1359,1234568065,10
73858861,1359,1234568065,10
76834103,1359,1234568065,10
