MSISDN,Customer_MSISDN,amount,PIN
73135547,73005099,1,1359
73421858,74958668,1,1359
73695459,73100120,1,1359
73752286,73000927,1,1359
73694011,73007869,1,1359
75811458,73319986,1,1359
73272046,73100227,1,1359
76858906,73001762,1,1359
73463496,73000782,1,1359
73208278,73005660,1,1359
73464277,73000282,1,1359
73190761,73001866,1,1359
76858805,73323725,1,1359
73463442,73001194,1,1359
73507828,76866735,1,1359
76817470,73000971,1,1359
73306732,73516141,1,1359
73560084,73000279,1,1359
76873288,73003447,1,1359
74964932,73007868,1,1359
73463431,73757333,1,1359
73801582,73003334,1,1359
76831590,73005869,1,1359
73632577,73338000,1,1359
76858890,73003008,1,1359
75850043,73717137,1,1359
73463923,73000110,1,1359
76858799,73000746,1,1359
76858907,73005621,1,1359
73956088,73007055,1,1359
76859476,73001243,1,1359
73178020,73003030,1,1359
73693534,73819818,1,1359
73251758,73100103,1,1359
73061900,73005202,1,1359
73693573,73411196,1,1359
73463832,73004433,1,1359
76873374,73002057,1,1359
73464060,73308000,1,1359
73978625,73340416,1,1359
73545510,73005158,1,1359
73802066,73803910,1,1359
73994363,73000354,1,1359
73128380,73007877,1,1359
76867229,73324582,1,1359
73059538,73001076,1,1359
73691705,73007094,1,1359
73997171,73000989,1,1359
73463504,73004443,1,1359
73463865,73465474,1,1359
73463455,73011271,1,1359
73691886,73873030,1,1359
73579377,76866730,1,1359
75874923,73007090,1,1359
73046425,73002056,1,1359
73463811,73001286,1,1359
76858808,73705356,1,1359
73053361,73005752,1,1359
76804260,73001136,1,1359
73103146,73003465,1,1359
73463605,73007022,1,1359
76891882,73005884,1,1359
75874448,73007110,1,1359
74969531,73001254,1,1359
73185227,73000723,1,1359
73594971,73001756,1,1359
73799448,73469099,1,1359
73901549,76866731,1,1359
73375157,73416162,1,1359
73321821,73956442,1,1359
76873364,73000246,1,1359
74964950,73005096,1,1359
73694050,73100178,1,1359
73313550,73001038,1,1359
76858709,73005124,1,1359
73640223,73009287,1,1359
73307212,73001135,1,1359
73881154,73967556,1,1359
73321540,73471444,1,1359
76860610,73559100,1,1359
74968808,73000657,1,1359
73500526,73100035,1,1359
76861473,73000680,1,1359
73798854,73332935,1,1359
73058236,73812566,1,1359
73341833,75881542,1,1359
73753864,73436509,1,1359
73505831,73100033,1,1359
73368746,73001029,1,1359
73803122,73247402,1,1359
73691788,73924948,1,1359
73863793,73996966,1,1359
73954386,73005121,1,1359
73335498,73966299,1,1359
73557157,73007061,1,1359
76860614,76863387,1,1359
73251734,73000231,1,1359
73096841,73003308,1,1359
73422085,73322404,1,1359
73462881,73144440,1,1359
