MSISDN,PIN,contract_number
73797703,1359,FS005493
73971898,1359,FS005493
75871391,1359,FS005493
73834381,1359,FS005493
73939400,1359,FS005493
73034946,1359,FS005493
75884433,1359,FS005493
73586603,1359,FS005493
73753276,1359,FS005493
74943635,1359,FS005493
76814097,1359,FS005493
73408403,1359,FS005493
73481956,1359,FS005493
73228330,1359,FS005493
73706435,1359,FS005493
73027314,1359,FS005493
73777920,1359,FS005493
73595892,1359,FS005493
73315149,1359,FS005493
73852780,1359,FS005493
73917285,1359,FS005493
73970322,1359,FS005493
73996853,1359,FS005493
73379871,1359,FS005493
73097473,1359,FS005493
75824271,1359,FS005493
73258406,1359,FS005493
73947785,1359,FS005493
73619796,1359,FS005493
73604306,1359,FS005493
73794469,1359,FS005493
73520147,1359,FS005493
73550662,1359,FS005493
73902361,1359,FS005493
74931509,1359,FS005493
73056965,1359,FS005493
73369972,1359,FS005493
73081763,1359,FS005493
73775128,1359,FS005493
73164568,1359,FS005493
73613814,1359,FS005493
73238106,1359,FS005493
73782518,1359,FS005493
73727074,1359,FS005493
73637922,1359,FS005493
73954252,1359,FS005493
74930173,1359,FS005493
73212656,1359,FS005493
76835430,1359,FS005493
73111313,1359,FS005493
74997646,1359,FS005493
73313143,1359,FS005493
73012398,1359,FS005493
73236275,1359,FS005493
73483197,1359,FS005493
73374034,1359,FS005493
73398499,1359,FS005493
73866333,1359,FS005493
73482353,1359,FS005493
73464725,1359,FS005493
73256790,1359,FS005493
73443959,1359,FS005493
73187251,1359,FS005493
73085104,1359,FS005493
73138139,1359,FS005493
73259425,1359,FS005493
73066907,1359,FS005493
73244380,1359,FS005493
73087698,1359,FS005493
73222317,1359,FS005493
74970838,1359,FS005493
73082557,1359,FS005493
73951587,1359,FS005493
73357428,1359,FS005493
73005885,1359,FS005493
73973936,1359,FS005493
73418958,1359,FS005493
73033665,1359,FS005493
75830688,1359,FS005493
73408177,1359,FS005493
73965875,1359,FS005493
73051499,1359,FS005493
73520594,1359,FS005493
73177654,1359,FS005493
73870103,1359,FS005493
73586179,1359,FS005493
73810423,1359,FS005493
73632270,1359,FS005493
73783291,1359,FS005493
73456967,1359,FS005493
73133207,1359,FS005493
73762689,1359,FS005493
73882024,1359,FS005493
73404967,1359,FS005493
75854603,1359,FS005493
73134260,1359,FS005493
73751045,1359,FS005493
73514604,1359,FS005493
73440453,1359,FS005493
73635826,1359,FS005493
73738527,1359,FS005493
73687366,1359,FS005493
73644895,1359,FS005493
73508943,1359,FS005493
73844089,1359,FS005493
73797605,1359,FS005493
73886886,1359,FS005493
73998439,1359,FS005493
73518265,1359,FS005493
73832800,1359,FS005493
73229303,1359,FS005493
75801962,1359,FS005493
75828954,1359,FS005493
73625025,1359,FS005493
75863739,1359,FS005493
73307253,1359,FS005493
76809574,1359,FS005493
73020326,1359,FS005493
