MSISDN,PIN
73003030,1359
73562949,1359
73703131,1359
73324763,1359
75863779,1359
74942177,1359
73305593,1359
73697441,1359
73740272,1359
73965224,1359
73877453,1359
73497861,1359
73241858,1359
73918334,1359
73658074,1359
73580042,1359
73629717,1359
73608596,1359
73050290,1359
73195354,1359
73800101,1359
76827906,1359
73128507,1359
73509880,1359
74940904,1359
73043832,1359
73919818,1359
76890541,1359
74904996,1359
73574109,1359
73310844,1359
73377466,1359
73312647,1359
73865525,1359
73650564,1359
73309230,1359
73996966,1359
74990725,1359
73485477,1359
75826985,1359
73765328,1359
73805365,1359
73277283,1359
75851062,1359
73202390,1359
75847166,1359
73765007,1359
73350771,1359
76858338,1359
76895368,1359
73089791,1359
73091149,1359
76805226,1359
73676793,1359
73425733,1359
73327501,1359
73238871,1359
73720650,1359
73272431,1359
73693247,1359
73154685,1359
73233992,1359
73030254,1359
73724161,1359
73452879,1359
73076405,1359
73812135,1359
73447192,1359
75861776,1359
73428939,1359
73705806,1359
73429808,1359
73335578,1359
73350407,1359
73555009,1359
73251515,1359
73242378,1359
73545234,1359
73101757,1359
73911865,1359
73102650,1359
75817379,1359
73142526,1359
73157241,1359
73116516,1359
73169411,1359
73910353,1359
73309055,1359
74914690,1359
73001261,1359
73850038,1359
73777083,1359
73157731,1359
73939638,1359
73163020,1359
73264959,1359
73138488,1359
73168564,1359
73034241,1359
73419079,1359
73894084,1359
73890347,1359
73774246,1359
73337832,1359
73161922,1359
73394206,1359
73530181,1359
73905385,1359
73727058,1359
73041201,1359
73938287,1359
73636043,1359
73522516,1359
74941905,1359
73335556,1359
73844052,1359
73714950,1359
73199437,1359
73575903,1359
73866829,1359
73223287,1359
73972018,1359
73745034,1359
73302679,1359
73887365,1359
74998966,1359
75828804,1359
73994295,1359
75841340,1359
75874163,1359
73413302,1359
76820988,1359
73001965,1359
