MSISDN,Receiver_MSISDN,amount,PIN
73970003,73901933,1,1359
73005662,73769243,1,1359
73364606,73722083,1,1359
73503827,73597486,1,1359
73960802,76817053,1,1359
73453622,73675851,1,1359
73007030,73651260,1,1359
73053332,73461127,1,1359
76843620,73891437,1,1359
73222159,73844447,1,1359
74994292,73993865,1,1359
73680043,73666577,1,1359
73252099,74961671,1,1359
73392488,75820114,1,1359
73936889,73656086,1,1359
76868751,75846437,1,1359
73229485,75840694,1,1359
73532049,73100101,1,1359
73606348,73455968,1,1359
73772730,73245352,1,1359
73753581,73231315,1,1359
74997091,76825808,1,1359
73568949,74988519,1,1359
74913554,76864217,1,1359
73040483,74931074,1,1359
73104539,73181972,1,1359
73901933,73326523,1,1359
73769243,73189857,1,1359
73722083,73144567,1,1359
73597486,73462684,1,1359
76817053,73258667,1,1359
73675851,73558528,1,1359
73651260,73306584,1,1359
73461127,73868593,1,1359
73891437,73047495,1,1359
73844447,73012203,1,1359
73993865,73039485,1,1359
73666577,73298004,1,1359
74961671,73634985,1,1359
75820114,73695155,1,1359
73656086,73317583,1,1359
75846437,73026520,1,1359
75840694,73528238,1,1359
73100101,73492342,1,1359
73455968,73238988,1,1359
73245352,73434926,1,1359
73231315,76851831,1,1359
76825808,73286907,1,1359
74988519,73633427,1,1359
76864217,73268168,1,1359
74931074,73102479,1,1359
73181972,73112129,1,1359
73326523,73215153,1,1359
73189857,73066015,1,1359
73144567,73506999,1,1359
73462684,73195571,1,1359
73258667,73112420,1,1359
73558528,73116537,1,1359
73306584,73376206,1,1359
73868593,73169156,1,1359
73047495,76834437,1,1359
73012203,73334369,1,1359
73039485,74934305,1,1359
73298004,73009287,1,1359
73634985,73670735,1,1359
73695155,73001297,1,1359
73317583,73942933,1,1359
73026520,73395784,1,1359
73528238,73485001,1,1359
73492342,73898594,1,1359
73238988,73374205,1,1359
73434926,74916841,1,1359
76851831,73473529,1,1359
73286907,73359394,1,1359
73633427,75830651,1,1359
73268168,74910521,1,1359
73102479,73225726,1,1359
73112129,73358133,1,1359
73215153,73860057,1,1359
73066015,73527245,1,1359
73506999,73312397,1,1359
73195571,73371279,1,1359
73112420,73140626,1,1359
73116537,73693888,1,1359
73376206,73908742,1,1359
73169156,73724315,1,1359
76834437,73508233,1,1359
73334369,73252536,1,1359
74934305,74938262,1,1359
73009287,73067777,1,1359
73670735,73808375,1,1359
73001297,73770626,1,1359
73942933,73827265,1,1359
73395784,73970589,1,1359
73485001,73944333,1,1359
73898594,73607108,1,1359
73374205,73998505,1,1359
74916841,73936061,1,1359
73473529,75801579,1,1359
73359394,76893773,1,1359
75830651,73172341,1,1359
74910521,73208218,1,1359
73225726,75857490,1,1359
73358133,73266284,1,1359
73860057,73489521,1,1359
73527245,73180519,1,1359
73312397,73398893,1,1359
73371279,73970003,1,1359
73140626,73005662,1,1359
73693888,73364606,1,1359
73908742,73503827,1,1359
73724315,73960802,1,1359
73508233,73453622,1,1359
73252536,73007030,1,1359
74938262,73053332,1,1359
73067777,76843620,1,1359
73808375,73222159,1,1359
73770626,74994292,1,1359
73827265,73680043,1,1359
73970589,73252099,1,1359
73944333,73392488,1,1359
73607108,73936889,1,1359
73998505,76868751,1,1359
73936061,73229485,1,1359
75801579,73532049,1,1359
76893773,73606348,1,1359
73172341,73772730,1,1359
73208218,73753581,1,1359
75857490,74997091,1,1359
73266284,73568949,1,1359
73489521,74913554,1,1359
73180519,73040483,1,1359
73398893,73104539,1,1359
