MSISDN,PIN
73644423,1359
73631127,1359
73642629,1359
74992893,1359
73079548,1359
73712543,1359
73867353,1359
73958009,1359
73238998,1359
73979719,1359
73337540,1359
73325644,1359
73431926,1359
73404231,1359
74917362,1359
73640295,1359
73293712,1359
73121979,1359
73645112,1359
73531774,1359
73608735,1359
73926765,1359
73969703,1359
73849336,1359
73549367,1359
73495053,1359
73648995,1359
73277408,1359
73792533,1359
73770620,1359
73748724,1359
73861291,1359
75864762,1359
73679449,1359
73841708,1359
75896850,1359
73424253,1359
73748637,1359
73726630,1359
75844688,1359
75844908,1359
73461112,1359
75878721,1359
75818139,1359
76818812,1359
76862737,1359
76894176,1359
76841599,1359
73969855,1359
73942011,1359
73254038,1359
75827866,1359
73321939,1359
73494329,1359
76874738,1359
73106509,1359
75861672,1359
73609403,1359
73633540,1359
76825313,1359
73776505,1359
73443719,1359
76866732,1359
73644570,1359
73997511,1359
73813458,1359
73193082,1359
73424720,1359
73374013,1359
73415032,1359
73383258,1359
73247532,1359
73272305,1359
73235272,1359
73088712,1359
73289965,1359
73255922,1359
73540234,1359
73086274,1359
73111286,1359
73236881,1359
73627881,1359
73400036,1359
73664011,1359
73904303,1359
73850614,1359
73589408,1359
75828722,1359
75841557,1359
73203339,1359
73941465,1359
76807841,1359
73343312,1359
73039261,1359
74925365,1359
73767279,1359
73350198,1359
73342660,1359
73029492,1359
73856406,1359
73754306,1359
75840052,1359
73864765,1359
73894884,1359
73772032,1359
73864672,1359
73586106,1359
73249688,1359
73441817,1359
73824992,1359
73885031,1359
73069454,1359
73837612,1359
73733019,1359
74931077,1359
73892467,1359
73854090,1359
73813490,1359
76830200,1359
73980757,1359
73881384,1359
73806851,1359
73587237,1359
75834378,1359
73811109,1359
75863346,1359
75863747,1359
73614650,1359
75831522,1359
73225022,1359
73692851,1359
73466330,1359
73095080,1359
73998237,1359
73637060,1359
73993533,1359
73139969,1359
73695237,1359
75878399,1359
76880705,1359
73645454,1359
73018625,1359
73447491,1359
73675415,1359
73939311,1359
73151637,1359
73481027,1359
73295429,1359
76896918,1359
73635277,1359
74953927,1359
73942911,1359
73124256,1359
73464811,1359
73634786,1359
73357743,1359
73969882,1359
73757658,1359
73782601,1359
73248219,1359
73509954,1359
73653384,1359
73037271,1359
74926328,1359
74993461,1359
73012801,1359
73992585,1359
73611625,1359
73579819,1359
74991344,1359
75894093,1359
75853072,1359
73921646,1359
73490897,1359
73256642,1359
73465989,1359
75809806,1359
73088425,1359
73604736,1359
76876786,1359
73726711,1359
73900906,1359
73155052,1359
73132505,1359
73721709,1359
73096970,1359
75872829,1359
76868688,1359
73501376,1359
73984952,1359
73873387,1359
73200373,1359
73447249,1359
73045870,1359
73460831,1359
73598087,1359
73364156,1359
73495155,1359
73305995,1359
73446465,1359
73329249,1359
73821653,1359
73239636,1359
73194471,1359
73066139,1359
73143504,1359
73917024,1359
73102482,1359
73297907,1359
73121016,1359
73110670,1359
73511582,1359
73772043,1359
73365333,1359
73009727,1359
73947714,1359
73842200,1359
73212205,1359
73139208,1359
73040069,1359
73575102,1359
75841238,1359
75840757,1359
73732593,1359
73382598,1359
73177013,1359
73185041,1359
73983458,1359
73602280,1359
73015172,1359
73518981,1359
73299401,1359
73370623,1359
73168025,1359
73915824,1359
73953884,1359
73758029,1359
73639188,1359
73442477,1359
73993284,1359
73849563,1359
73767482,1359
73656604,1359
73970045,1359
73627318,1359
73648669,1359
73628579,1359
73941531,1359
73452338,1359
74993085,1359
73869813,1359
75805204,1359
75836143,1359
75828861,1359
73544342,1359
75857503,1359
73296183,1359
75881446,1359
73957428,1359
73994607,1359
73819797,1359
74903843,1359
73567641,1359
73822418,1359
73587872,1359
75800245,1359
73444537,1359
73876770,1359
73228446,1359
73627356,1359
73738593,1359
73214149,1359
75898032,1359
73283168,1359
73404982,1359
73435976,1359
73609918,1359
73884161,1359
73558553,1359
73652266,1359
73884061,1359
73490588,1359
73437693,1359
73476591,1359
73715883,1359
73273015,1359
73676025,1359
73874766,1359
73760487,1359
73794786,1359
73309403,1359
73930449,1359
73672543,1359
73872447,1359
73695521,1359
73174706,1359
73373465,1359
73045735,1359
76816804,1359
75838390,1359
73181226,1359
73627272,1359
73520798,1359
73152752,1359
73765950,1359
74963066,1359
76855980,1359
74944448,1359
75867428,1359
73195940,1359
73579485,1359
76875938,1359
73384226,1359
73144993,1359
74943710,1359
73505830,1359
76823997,1359
73324711,1359
73567238,1359
75883855,1359
75837974,1359
73162514,1359
73289797,1359
73216330,1359
74989466,1359
73184834,1359
73160589,1359
73243378,1359
73366069,1359
73248624,1359
73490554,1359
73282781,1359
73373905,1359
73101254,1359
73112515,1359
73234872,1359
73210613,1359
73078481,1359
73194859,1359
75821549,1359
73111088,1359
73260260,1359
73615890,1359
73115360,1359
73150124,1359
73825019,1359
73854737,1359
73001105,1359
73277059,1359
74972924,1359
73575214,1359
75830033,1359
73925598,1359
76898720,1359
73663597,1359
73189436,1359
73640069,1359
73223035,1359
73179883,1359
73246058,1359
73183761,1359
73448148,1359
73840999,1359
73435651,1359
73399037,1359
73393239,1359
73254597,1359
76890661,1359
76889259,1359
76836953,1359
73585817,1359
73517198,1359
73038493,1359
73376765,1359
73582555,1359
73892137,1359
73996427,1359
73917508,1359
73432818,1359
73817233,1359
73996850,1359
73104320,1359
74990039,1359
73586155,1359
73598828,1359
74903000,1359
73829237,1359
73132948,1359
75852682,1359
74946434,1359
73122992,1359
73000993,1359
73005884,1359
73003465,1359
73005517,1359
73005090,1359
