MSISDN,amount,PIN,Accountnumber
73000539,1,1359,1234567951
73837925,1,1359,1234567952
73807011,1,1359,1234567953
73853257,1,1359,1234567954
73931015,1,1359,1234567955
73640988,1,1359,1234567956
73899841,1,1359,1234567957
73702585,1,1359,1234567958
73462269,1,1359,1234567959
73224492,1,1359,1234567960
74936366,1,1359,1234567961
76898231,1,1359,1234567962
75879855,1,1359,1234567963
73002142,1,1359,1234567964
73117433,1,1359,1234567965
73136689,1,1359,1234567966
75824035,1,1359,1234567967
73532035,1,1359,1234567968
76827125,1,1359,1234567969
73486932,1,1359,1234567970
76806379,1,1359,1234567971
73896692,1,1359,1234567972
73562270,1,1359,1234567973
73976176,1,1359,1234567974
73454840,1,1359,1234567975
73618817,1,1359,1234567976
73604791,1,1359,1234567977
73489731,1,1359,1234567978
73181767,1,1359,1234567979
74922000,1,1359,1234567980
73787858,1,1359,1234567981
73562339,1,1359,1234567982
73891775,1,1359,1234567983
73766607,1,1359,1234567984
73942495,1,1359,1234567985
73010758,1,1359,1234567986
73996062,1,1359,1234567987
73970828,1,1359,1234567988
76870192,1,1359,1234567989
75824586,1,1359,1234567990
73945170,1,1359,1234567991
73762117,1,1359,1234567992
73057817,1,1359,1234567993
74943172,1,1359,1234567994
73530961,1,1359,1234567995
75877362,1,1359,1234567996
74990339,1,1359,1234567997
76825957,1,1359,1234567998
75834272,1,1359,1234567999
76899635,1,1359,1234568000
73059931,1,1359,1234568001
73258774,1,1359,1234568002
75829011,1,1359,1234568003
73613568,1,1359,1234568004
73075477,1,1359,1234568005
73270748,1,1359,1234568006
73449038,1,1359,1234568007
73072699,1,1359,1234568008
73039148,1,1359,1234568009
76895565,1,1359,1234568010
73471900,1,1359,1234568011
74933739,1,1359,1234568012
74916573,1,1359,1234568013
75838584,1,1359,1234568014
73893466,1,1359,1234568015
73191866,1,1359,1234568016
73008536,1,1359,1234568017
73467541,1,1359,1234568018
73993326,1,1359,1234568019
73426064,1,1359,1234568020
73304281,1,1359,1234568021
73356551,1,1359,1234568022
73354821,1,1359,1234568023
73311291,1,1359,1234568024
75857484,1,1359,1234568025
73234680,1,1359,1234568026
73257104,1,1359,1234568027
73086752,1,1359,1234568028
73851268,1,1359,1234568029
73999930,1,1359,1234568030
73101789,1,1359,1234568031
73110463,1,1359,1234568032
73265560,1,1359,1234568033
73258773,1,1359,1234568034
73410458,1,1359,1234568035
73088178,1,1359,1234568036
73295633,1,1359,1234568037
73496929,1,1359,1234568038
73815094,1,1359,1234568039
73534780,1,1359,1234568040
73001286,1,1359,1234568041
73377666,1,1359,1234568042
73834389,1,1359,1234568043
73000680,1,1359,1234568044
75876944,1,1359,1234568045
73554213,1,1359,1234568046
73376861,1,1359,1234568047
73692393,1,1359,1234568048
73397493,1,1359,1234568049
73316505,1,1359,1234568050
73344153,1,1359,1234568051
73556655,1,1359,1234568052
73000770,1,1359,1234568053
73710111,1,1359,1234568054
73430934,1,1359,1234568055
74947685,1,1359,1234568056
73826421,1,1359,1234568057
73443644,1,1359,1234568058
73503562,1,1359,1234568059
73743378,1,1359,1234568060
73319027,1,1359,1234568061
76884066,1,1359,1234568062
73578589,1,1359,1234568063
73895607,1,1359,1234568064
74933516,1,1359,1234568065
73983159,1,1359,1234568066
73296764,1,1359,1234568067
73060456,1,1359,1234568068
73524040,1,1359,1234568069
73881803,1,1359,1234568070
73392757,1,1359,1234568071
73546335,1,1359,1234568072
73518485,1,1359,1234568073
73503969,1,1359,1234568074
73001321,1,1359,1234568075
75835135,1,1359,1234568076
73581665,1,1359,1234568077
75855658,1,1359,1234568078
75821312,1,1359,1234568079
73026482,1,1359,1234568080
75815191,1,1359,1234568081
75830528,1,1359,1234568082
73885909,1,1359,1234568083
