MSISDN,PIN,contract_number
73000110,1359,FS005493
73100227,1359,FS005493
73000989,1359,FS005493
73000657,1359,FS005493
73000723,1359,FS005493
73000971,1359,FS005493
73000782,1359,FS005493
73005621,1359,FS005493
73002056,1359,FS005493
73000246,1359,FS005493
73000231,1359,FS005493
76866730,1359,FS005493
76866731,1359,FS005493
76866735,1359,FS005493
73007055,1359,FS005493
73007022,1359,FS005493
73007094,1359,FS005493
73340416,1359,FS005493
73007869,1359,FS005493
73001038,1359,FS005493
73000746,1359,FS005493
73005099,1359,FS005493
73436509,1359,FS005493
73007090,1359,FS005493
73000927,1359,FS005493
73717137,1359,FS005493
73001762,1359,FS005493
73005202,1359,FS005493
73996966,1359,FS005493
73005124,1359,FS005493
73001254,1359,FS005493
73324582,1359,FS005493
73004443,1359,FS005493
73308000,1359,FS005493
73469099,1359,FS005493
73003008,1359,FS005493
73000282,1359,FS005493
73000680,1359,FS005493
73007061,1359,FS005493
73000279,1359,FS005493
73001029,1359,FS005493
73003465,1359,FS005493
76863387,1359,FS005493
73007110,1359,FS005493
73002057,1359,FS005493
73003308,1359,FS005493
73003334,1359,FS005493
73705356,1359,FS005493
73001243,1359,FS005493
73001076,1359,FS005493
73007868,1359,FS005493
73005884,1359,FS005493
73003447,1359,FS005493
73001194,1359,FS005493
73757333,1359,FS005493
73411196,1359,FS005493
73011271,1359,FS005493
73144440,1359,FS005493
73924948,1359,FS005493
73322404,1359,FS005493
73819818,1359,FS005493
73416162,1359,FS005493
73967556,1359,FS005493
73338000,1359,FS005493
73956442,1359,FS005493
73100120,1359,FS005493
73005752,1359,FS005493
73005158,1359,FS005493
73003030,1359,FS005493
73100178,1359,FS005493
75881542,1359,FS005493
73005660,1359,FS005493
73100033,1359,FS005493
73001866,1359,FS005493
74958668,1359,FS005493
73516141,1359,FS005493
73005869,1359,FS005493
73005121,1359,FS005493
73471444,1359,FS005493
73465474,1359,FS005493
73001135,1359,FS005493
73001286,1359,FS005493
73007877,1359,FS005493
73001136,1359,FS005493
73004433,1359,FS005493
73001756,1359,FS005493
73559100,1359,FS005493
73000354,1359,FS005493
73100103,1359,FS005493
73009287,1359,FS005493
73332935,1359,FS005493
73873030,1359,FS005493
73803910,1359,FS005493
73319986,1359,FS005493
73100035,1359,FS005493
73247402,1359,FS005493
73812566,1359,FS005493
73005096,1359,FS005493
73966299,1359,FS005493
73323725,1359,FS005493
73100094,1359,FS005493
73401787,1359,FS005493
73001294,1359,FS005493
73001150,1359,FS005493
73703131,1359,FS005493
73530395,1359,FS005493
73005661,1359,FS005493
73001143,1359,FS005493
73006100,1359,FS005493
75811241,1359,FS005493
73001941,1359,FS005493
73007068,1359,FS005493
73629992,1359,FS005493
73967537,1359,FS005493
75874064,1359,FS005493
73007874,1359,FS005493
73001758,1359,FS005493
73682900,1359,FS005493
73003445,1359,FS005493
73012398,1359,FS005493
73003009,1359,FS005493
73840131,1359,FS005493
73955429,1359,FS005493
73758177,1359,FS005493
74910000,1359,FS005493
73005516,1359,FS005493
73003012,1359,FS005493
73629993,1359,FS005493
73001236,1359,FS005493
73005095,1359,FS005493
73001445,1359,FS005493
73899841,1359,FS005493
73005518,1359,FS005493
73013182,1359,FS005493
73281272,1359,FS005493
74900002,1359,FS005493
76803298,1359,FS005493
73006020,1359,FS005493
73801370,1359,FS005493
73005105,1359,FS005493
73005517,1359,FS005493
73005116,1359,FS005493
73922025,1359,FS005493
73973936,1359,FS005493
73927047,1359,FS005493
73005883,1359,FS005493
73005090,1359,FS005493
75888996,1359,FS005493
73338999,1359,FS005493
73251724,1359,FS005493
73005734,1359,FS005493
73225607,1359,FS005493
73001337,1359,FS005493
73108884,1359,FS005493
73005092,1359,FS005493
73005152,1359,FS005493
73004415,1359,FS005493
73005550,1359,FS005493
73005094,1359,FS005493
73007911,1359,FS005493
73003446,1359,FS005493
73005929,1359,FS005493
73007084,1359,FS005493
73007173,1359,FS005493
73005136,1359,FS005493
73005135,1359,FS005493
73758172,1359,FS005493
73100057,1359,FS005493
73955933,1359,FS005493
73899998,1359,FS005493
73005120,1359,FS005493
73431547,1359,FS005493
73005521,1359,FS005493
73100136,1359,FS005493
73005087,1359,FS005493
73005106,1359,FS005493
73005662,1359,FS005493
73005885,1359,FS005493
73100106,1359,FS005493
73181010,1359,FS005493
73100139,1359,FS005493
73004410,1359,FS005493
73001261,1359,FS005493
73001190,1359,FS005493
73005535,1359,FS005493
73007892,1359,FS005493
73005145,1359,FS005493
73005573,1359,FS005493
73268888,1359,FS005493
73001353,1359,FS005493
73005134,1359,FS005493
73100125,1359,FS005493
73100119,1359,FS005493
73998171,1359,FS005493
73005104,1359,FS005493
73681344,1359,FS005493
73002071,1359,FS005493
73000488,1359,FS005493
73000508,1359,FS005493
76883662,1359,FS005493
73215548,1359,FS005493
73000993,1359,FS005493
73926293,1359,FS005493
