MSISDN,Receiver_MSISDN,amount,PIN
73000110,71000001,1,1359
73100227,71000002,1,1359
73000989,71000003,1,1359
73000657,71000004,1,1359
73000723,71000005,1,1359
73000971,71000006,1,1359
73000782,71000007,1,1359
73005621,71000008,1,1359
73002056,71000009,1,1359
73000246,71000010,1,1359
73000231,71000011,1,1359
76866730,71000012,1,1359
76866731,71000013,1,1359
76866735,71000014,1,1359
73007055,71000015,1,1359
73007022,71000016,1,1359
73007094,71000017,1,1359
73340416,71000018,1,1359
73007869,71000019,1,1359
73001038,71000020,1,1359
73000746,71000021,1,1359
73005099,71000022,1,1359
73436509,71000023,1,1359
73007090,71000024,1,1359
73000927,71000025,1,1359
73717137,71000026,1,1359
73001762,71000027,1,1359
73005202,71000028,1,1359
73996966,71000029,1,1359
73005124,71000030,1,1359
73001254,71000031,1,1359
73324582,71000032,1,1359
73004443,71000033,1,1359
73308000,71000034,1,1359
73469099,71000035,1,1359
73003008,71000036,1,1359
73000282,71000037,1,1359
73000680,71000038,1,1359
73007061,71000039,1,1359
73000279,71000040,1,1359
73001029,71000041,1,1359
73003465,71000042,1,1359
76863387,71000043,1,1359
73007110,71000044,1,1359
73002057,71000045,1,1359
73003308,71000046,1,1359
73003334,71000047,1,1359
73705356,71000048,1,1359
73001243,71000049,1,1359
73001076,71000050,1,1359
73007868,71000051,1,1359
73005884,71000052,1,1359
73003447,71000053,1,1359
73001194,71000054,1,1359
73757333,71000055,1,1359
73411196,71000056,1,1359
73011271,71000057,1,1359
73144440,71000058,1,1359
73924948,71000059,1,1359
73322404,71000060,1,1359
73819818,71000061,1,1359
73416162,71000062,1,1359
73967556,71000063,1,1359
73338000,71000064,1,1359
73956442,71000065,1,1359
73100120,71000066,1,1359
73005752,71000067,1,1359
73005158,71000068,1,1359
73003030,71000069,1,1359
73100178,71000070,1,1359
75881542,71000071,1,1359
73005660,71000072,1,1359
73100033,71000073,1,1359
73001866,71000074,1,1359
74958668,71000075,1,1359
73516141,71000076,1,1359
73005869,71000077,1,1359
73005121,71000078,1,1359
73471444,71000079,1,1359
73465474,71000080,1,1359
73001135,71000081,1,1359
73001286,71000082,1,1359
73007877,71000083,1,1359
73001136,71000084,1,1359
73004433,71000085,1,1359
73001756,71000086,1,1359
73559100,71000087,1,1359
73000354,71000088,1,1359
73100103,71000089,1,1359
73009287,71000090,1,1359
73332935,71000091,1,1359
73873030,71000092,1,1359
73803910,71000093,1,1359
73319986,71000094,1,1359
73100035,71000095,1,1359
73247402,71000096,1,1359
73812566,71000097,1,1359
73005096,71000098,1,1359
73966299,71000099,1,1359
73323725,71000100,1,1359
73100094,71000101,1,1359
73401787,71000102,1,1359
73001294,71000103,1,1359
73001150,71000104,1,1359
73703131,71000105,1,1359
73530395,71000106,1,1359
73005661,71000107,1,1359
73001143,71000108,1,1359
73006100,71000109,1,1359
75811241,71000111,1,1359
73001941,71000112,1,1359
73007068,71000113,1,1359
73629992,71000114,1,1359
73967537,71000115,1,1359
75874064,71000116,1,1359
73007874,71000117,1,1359
73001758,71000118,1,1359
73682900,71000119,1,1359
73003445,71000120,1,1359
73012398,71000121,1,1359
73003009,71000122,1,1359
73840131,71000123,1,1359
73955429,71000124,1,1359
73758177,71000125,1,1359
74910000,71000126,1,1359
73005516,71000127,1,1359
73003012,71000128,1,1359
73629993,71000129,1,1359
73001236,71000130,1,1359
73005095,71000131,1,1359
73001445,71000132,1,1359
73899841,71000133,1,1359
73005518,71000134,1,1359
73013182,71000135,1,1359
73281272,71000136,1,1359
74900002,71000137,1,1359
76803298,71000138,1,1359
73006020,71000139,1,1359
73801370,71000140,1,1359
73005105,71000141,1,1359
73005517,71000142,1,1359
73005116,71000143,1,1359
73922025,71000144,1,1359
73973936,71000145,1,1359
73927047,71000146,1,1359
73005883,71000147,1,1359
73005090,71000148,1,1359
75888996,71000149,1,1359
73338999,71000150,1,1359
73251724,71000151,1,1359
73005734,71000152,1,1359
73225607,71000153,1,1359
73001337,71000154,1,1359
73108884,71000155,1,1359
73005092,71000156,1,1359
73005152,71000157,1,1359
73004415,71000158,1,1359
73005550,71000159,1,1359
73005094,71000160,1,1359
73007911,71000161,1,1359
73003446,71000162,1,1359
73005929,71000163,1,1359
73007084,71000164,1,1359
73007173,71000165,1,1359
73005136,71000166,1,1359
73005135,71000167,1,1359
73758172,71000168,1,1359
73100057,71000169,1,1359
73955933,71000170,1,1359
73899998,71000171,1,1359
73005120,71000172,1,1359
73431547,71000173,1,1359
73005521,71000174,1,1359
73100136,71000175,1,1359
73005087,71000176,1,1359
73005106,71000177,1,1359
73005662,71000178,1,1359
73005885,71000179,1,1359
73100106,71000180,1,1359
73181010,71000181,1,1359
73100139,71000182,1,1359
73004410,71000183,1,1359
73001261,71000184,1,1359
73001190,71000185,1,1359
73005535,71000186,1,1359
73007892,71000187,1,1359
73005145,71000188,1,1359
73005573,71000189,1,1359
73268888,71000190,1,1359
73001353,71000191,1,1359
73005134,71000192,1,1359
73100125,71000193,1,1359
73100119,71000194,1,1359
73998171,71000195,1,1359
73005104,71000196,1,1359
73681344,71000197,1,1359
73002071,71000198,1,1359
73000488,71000199,1,1359
73000508,71000200,1,1359
76883662,71000201,1,1359
73215548,71000202,1,1359
73000993,71000203,1,1359
73926293,71000204,1,1359
