MSISDN,Receiver_MSISDN,PIN
73100113,73005661,1359
73001424,73005661,1359
73900290,73005661,1359
73406657,73005661,1359
73909109,73005661,1359
73857822,73005661,1359
73263136,73005661,1359
73035173,73005661,1359
73347988,73005661,1359
73358632,73005661,1359
73109394,73005661,1359
73877491,73005661,1359
73039577,73005661,1359
76853833,73005661,1359
73285259,73005661,1359
73522232,73005661,1359
73517373,73005661,1359
73081426,73005661,1359
73679306,73005661,1359
73484788,73005661,1359
73670181,73005661,1359
73857419,73005661,1359
73633026,73005661,1359
73422592,73005661,1359
73668045,73005661,1359
73527104,73005661,1359
73533069,73005661,1359
73389400,73005661,1359
74911510,73005661,1359
73660739,73005661,1359
74980330,73005661,1359
73646957,73005661,1359
73789600,73005661,1359
73893612,73005661,1359
73384264,73005661,1359
73948927,73005661,1359
73713117,73005661,1359
74990888,73005661,1359
74995683,73005661,1359
73985067,73005661,1359
73638793,73005661,1359
73337094,73005661,1359
73925149,73005661,1359
73587072,73005661,1359
73318080,73005661,1359
73324843,73005661,1359
73882528,73005661,1359
73567709,73005661,1359
73282061,73005661,1359
76873819,73005661,1359
73819790,73005661,1359
73398600,73005661,1359
73936210,73005661,1359
73274817,73005661,1359
74966473,73005661,1359
75883113,73005661,1359
74931765,73005661,1359
73364201,73005661,1359
73174794,73005661,1359
73572791,73005661,1359
73871657,73005661,1359
76807387,73005661,1359
75842812,73005661,1359
73177508,73005661,1359
73061447,73005661,1359
73195460,73005661,1359
73525868,73005661,1359
73871880,73005661,1359
73348580,73005661,1359
73787349,73005661,1359
73366893,73005661,1359
73387967,73005661,1359
73352738,73005661,1359
73515138,73005661,1359
73349751,73005661,1359
73086282,73005661,1359
73628462,73005661,1359
73514862,73005661,1359
73417383,73005661,1359
73184278,73005661,1359
73014085,73005661,1359
73234703,73005661,1359
73832887,73005661,1359
73121948,73005661,1359
73130991,73005661,1359
73141455,73005661,1359
73515294,73005661,1359
73556159,73005661,1359
73119279,73005661,1359
74900787,73005661,1359
73073711,73005661,1359
73967367,73005661,1359
73953468,73005661,1359
73850445,73005661,1359
76872423,73005661,1359
73255765,73005661,1359
73705789,73005661,1359
73160309,73005661,1359
75827520,73005661,1359
73479000,73005661,1359
73458162,73005661,1359
73023763,73005661,1359
73374644,73005661,1359
73111858,73005661,1359
73818294,73005661,1359
73880642,73005661,1359
73443232,73005661,1359
73955017,73005661,1359
73558803,73005661,1359
73971930,73005661,1359
76887518,73005661,1359
73293592,73005661,1359
74947337,73005661,1359
73060173,73005661,1359
73825906,73005661,1359
73244597,73005661,1359
73708486,73005661,1359
73897496,73005661,1359
73578772,73005661,1359
73786329,73005661,1359
75885285,73005661,1359
73715945,73005661,1359
73717478,73005661,1359
74962716,73005661,1359
74938642,73005661,1359
73805924,73005661,1359
73341303,73005661,1359
73653544,73005661,1359
75832673,73005661,1359
75871254,73005661,1359
75820232,73005661,1359
76806355,73005661,1359
74997870,73005661,1359
73897701,73005661,1359
