MSISDN,PIN
73007039,1359
73000799,1359
73067817,1359
75807389,1359
73786910,1359
73575252,1359
73677973,1359
73252912,1359
73595138,1359
73001164,1359
73049596,1359
73073743,1359
76874983,1359
73908188,1359
73050834,1359
73784899,1359
73051448,1359
73138761,1359
73992775,1359
73828918,1359
73193590,1359
73810005,1359
73980749,1359
73887091,1359
73970286,1359
76862255,1359
73828029,1359
76846036,1359
73680928,1359
73649278,1359
73970773,1359
73877888,1359
73722037,1359
73325708,1359
73546971,1359
73591083,1359
73997534,1359
74936872,1359
75895559,1359
75826092,1359
74962876,1359
73370081,1359
73573029,1359
75843448,1359
73566510,1359
73439713,1359
74975471,1359
73073614,1359
73474074,1359
73005136,1359
76894837,1359
75888756,1359
73054732,1359
73190147,1359
73644665,1359
73909431,1359
76819724,1359
73773505,1359
73383661,1359
73824044,1359
73253537,1359
73057724,1359
73252241,1359
73543173,1359
73207820,1359
76871257,1359
76801711,1359
73492659,1359
73525495,1359
73571352,1359
73411170,1359
73521834,1359
73477258,1359
73426846,1359
73356208,1359
73083619,1359
73294881,1359
73289799,1359
73059614,1359
73570407,1359
73371730,1359
73255930,1359
73012624,1359
73009896,1359
73106387,1359
74934138,1359
75881001,1359
73765541,1359
73344999,1359
73005771,1359
74903059,1359
73413686,1359
73953076,1359
73868494,1359
73708258,1359
73406889,1359
73923699,1359
73557795,1359
73192252,1359
73413258,1359
76812288,1359
74933083,1359
73686114,1359
73498468,1359
73272175,1359
73095120,1359
73754843,1359
73439239,1359
73843006,1359
73896780,1359
73001157,1359
74943716,1359
73565171,1359
73813060,1359
73717443,1359
73253465,1359
73703355,1359
73782729,1359
73161894,1359
73083339,1359
73654595,1359
73680229,1359
74994709,1359
73875001,1359
74958668,1359
75827240,1359
73496516,1359
73332931,1359
75849940,1359
75862670,1359
73959001,1359
73004241,1359
73356709,1359
