MSISDN,Receiver_MSISDN,PIN
73717137,74910573,1359
73280210,73118520,1359
74916222,73592849,1359
76873615,73755076,1359
76844440,75800577,1359
73159195,74997523,1359
73744994,73997142,1359
73376588,75862643,1359
73971901,73824956,1359
75800828,75883968,1359
76858725,73751677,1359
73128125,76804919,1359
73154249,73621140,1359
73898747,76832601,1359
73448923,73680479,1359
73060510,73180929,1359
74965890,73450569,1359
73150938,75812526,1359
73605108,76868379,1359
73199142,73731775,1359
73921508,73139891,1359
73180675,73844774,1359
73886919,73095555,1359
73429388,73333717,1359
74900308,73747957,1359
73495590,76836849,1359
73593618,73307336,1359
73873283,73250671,1359
73270785,73894534,1359
73738653,73523902,1359
73648732,73403963,1359
73751342,73196539,1359
73862465,73956867,1359
73509258,73126310,1359
73238286,73459985,1359
73995543,73070106,1359
73515042,73453202,1359
74910573,73506250,1359
73118520,73184433,1359
73592849,73165072,1359
73755076,73112897,1359
75800577,73020541,1359
74997523,73019559,1359
73997142,73071441,1359
75862643,73268304,1359
73824956,73275703,1359
75883968,73238017,1359
73751677,73152260,1359
76804919,73551539,1359
73621140,73061477,1359
76832601,73812889,1359
73680479,73125781,1359
73180929,73144440,1359
73450569,73655018,1359
75812526,76837858,1359
76868379,73219300,1359
73731775,73019856,1359
73139891,73706711,1359
73844774,73789918,1359
73095555,73947649,1359
73333717,73357452,1359
73747957,73553013,1359
76836849,73636364,1359
73307336,73213003,1359
73250671,75841628,1359
73894534,73036312,1359
73523902,76818839,1359
73403963,76833317,1359
73196539,73393047,1359
73956867,73637478,1359
73126310,75874267,1359
73459985,73923793,1359
73070106,76811770,1359
73453202,73773370,1359
73506250,73857195,1359
73184433,73976873,1359
73165072,73612839,1359
73112897,73985102,1359
73020541,73478787,1359
73019559,73552099,1359
73071441,73872725,1359
73268304,73869206,1359
73275703,73778028,1359
73238017,75801578,1359
73152260,74900103,1359
73551539,73204579,1359
73061477,74900002,1359
73812889,73371924,1359
73125781,73993332,1359
73144440,73668532,1359
73655018,75824939,1359
76837858,73970245,1359
73219300,73581929,1359
73019856,73162463,1359
73706711,76820718,1359
73789918,73805663,1359
73947649,73717137,1359
73357452,73280210,1359
73553013,74916222,1359
73636364,76873615,1359
73213003,76844440,1359
75841628,73159195,1359
73036312,73744994,1359
76818839,73376588,1359
76833317,73971901,1359
73393047,75800828,1359
73637478,76858725,1359
75874267,73128125,1359
73923793,73154249,1359
76811770,73898747,1359
73773370,73448923,1359
73857195,73060510,1359
73976873,74965890,1359
73612839,73150938,1359
73985102,73605108,1359
73478787,73199142,1359
73552099,73921508,1359
73872725,73180675,1359
73869206,73886919,1359
73778028,73429388,1359
75801578,74900308,1359
74900103,73495590,1359
73204579,73593618,1359
74900002,73873283,1359
73371924,73270785,1359
73993332,73738653,1359
73668532,73648732,1359
75824939,73751342,1359
73970245,73862465,1359
73581929,73509258,1359
73162463,73238286,1359
76820718,73995543,1359
73805663,73515042,1359
