MSISDN,PIN
73000001,1234
73000002,1234
73000003,1234
73000004,1234
73000005,1234
73000006,1234
73000007,1234
73000008,1234
73000009,1234
73000010,1234
73000011,1234
73000012,1234
73000013,1234
73000014,1234
73000015,1234
73000016,1234
73000017,1234
73000018,1234
73000019,1234
73000020,1234
73000021,1234
73000022,1234
73000023,1234
73000024,1234
73000025,1234
73000026,1234
73000027,1234
73000028,1234
73000029,1234
73000030,1234
73000031,1234
73000032,1234
73000033,1234
73000034,1234
73000035,1234
73000036,1234
73000037,1234
73000038,1234
73000039,1234
73000040,1234
73000041,1234
73000042,1234
73000043,1234
73000044,1234
73000045,1234
73000046,1234
73000047,1234
73000048,1234
73000049,1234
73000050,1234
