MSISDN,Receiver_MSISDN,amount,PIN
73000001,73000051,10,1234
73000002,73000052,10,1234
73000003,73000053,10,1234
73000004,73000054,10,1234
73000005,73000055,10,1234
73000006,73000056,10,1234
73000007,73000057,10,1234
73000008,73000058,10,1234
73000009,73000059,10,1234
73000010,73000060,10,1234
73000011,73000061,10,1234
73000012,73000062,10,1234
73000013,73000063,10,1234
73000014,73000064,10,1234
73000015,73000065,10,1234
73000016,73000066,10,1234
73000017,73000067,10,1234
73000018,73000068,10,1234
73000019,73000069,10,1234
73000020,73000070,10,1234
73000021,73000071,10,1234
73000022,73000072,10,1234
73000023,73000073,10,1234
73000024,73000074,10,1234
73000025,73000075,10,1234
73000026,73000076,10,1234
73000027,73000077,10,1234
73000028,73000078,10,1234
73000029,73000079,10,1234
73000030,73000080,10,1234
73000031,73000081,10,1234
73000032,73000082,10,1234
73000033,73000083,10,1234
73000034,73000084,10,1234
73000035,73000085,10,1234
73000036,73000086,10,1234
73000037,73000087,10,1234
73000038,73000088,10,1234
73000039,73000089,10,1234
73000040,73000090,10,1234
73000041,73000091,10,1234
73000042,73000092,10,1234
73000043,73000093,10,1234
73000044,73000094,10,1234
73000045,73000095,10,1234
73000046,73000096,10,1234
73000047,73000097,10,1234
73000048,73000098,10,1234
73000049,73000099,10,1234
73000050,73000100,10,1234
